"filename", "language", "C++", "YAML", "Swift", "Java Properties", "Markdown", "Gradle", "XML", "JSON", "HTML", "Dart", "comment", "blank", "total"
"c:\admin_app\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\admin_app\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\admin_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 12, 74
"c:\admin_app\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 67
"c:\admin_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\admin_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 1, 34
"c:\admin_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\admin_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\admin_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\admin_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\admin_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\admin_app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\admin_app\android\gradle.properties", "Java Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\admin_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\admin_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\admin_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\admin_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\admin_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\admin_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\admin_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\admin_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\admin_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\admin_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\admin_app\lib\addcultureform.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 1, 6, 175
"c:\admin_app\lib\adddestinationform.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 1, 6, 173
"c:\admin_app\lib\bookform.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 1, 14, 224
"c:\admin_app\lib\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"c:\admin_app\lib\craftcarousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 5, 10, 226
"c:\admin_app\lib\editcuisine.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 2, 11, 145
"c:\admin_app\lib\editculturepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 1, 7, 111
"c:\admin_app\lib\editdestination.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 1, 7, 112
